Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%,PTS,AST,TRB,STL,BLK,FG,FGA,MP,G,3P,3PA,2P,2PA
Herm Hedderick,1955,0.8,0.4,0.8,,,0.222,0.222,0.222,,0.0,4,2,4.0,,,2,9,23.0,5,,,2,9
Ed Kalafat,1955,4.819444444444445,1.0416666666666667,4.402777777777778,,,0.315,0.315,0.315,,0.661,347,75,317.0,,,118,375,1102.0,72,,,118,375
Mike Kearns,1955,0.16666666666666666,0.8333333333333334,0.5,,,0.0,0.0,0.0,,0.25,1,5,3.0,,,0,5,25.0,6,,,0,5
Red Kerr,1955,10.472222222222221,1.1111111111111112,6.583333333333333,,,0.419,0.419,0.419,,0.682,754,80,474.0,,,301,718,1529.0,72,,,301,718
Dan King,1955,1.5833333333333333,0.25,2.0833333333333335,,,0.318,0.318,0.318,,0.5,19,3,25.0,,,7,22,103.0,12,,,7,22
Bob Knight,1955,3.5,4.0,0.5,,,0.429,0.429,0.429,,1.0,7,8,1.0,,,3,7,29.0,2,,,3,7
Ronnie MacGilvray,1955,1.3333333333333333,1.8333333333333333,1.5,,,0.167,0.167,0.167,,0.571,8,11,9.0,,,2,12,57.0,6,,,2,12
Tom Marshall,1955,8.01388888888889,1.5416666666666667,3.5555555555555554,,,0.442,0.442,0.442,,0.675,577,111,256.0,,,223,505,1337.0,72,,,223,505
Phil Martin,1955,1.7142857142857142,0.8571428571428571,1.4285714285714286,,,0.263,0.263,0.263,,1.0,12,6,10.0,,,5,19,47.0,7,,,5,19
Ken McBride,1955,9.75,1.1666666666666667,2.5833333333333335,,,0.327,0.327,0.327,,0.724,117,14,31.0,,,48,147,249.0,12,,,48,147
Carl McNulty,1955,2.0,0.0,0.0,,,0.167,0.167,0.167,,,2,0,0.0,,,1,6,14.0,1,,,1,6
Jackie Moore,1955,4.782608695652174,0.8695652173913043,4.565217391304348,,,0.383,0.383,0.383,,0.468,110,20,105.0,,,44,115,376.0,23,,,44,115
Red Morrison,1955,4.394366197183099,1.1549295774647887,6.352112676056338,,,0.423,0.423,0.423,,0.626,312,82,451.0,,,120,284,1227.0,71,,,120,284
Boris Nachamkin,1955,3.3333333333333335,0.5,3.1666666666666665,,,0.3,0.3,0.3,,0.615,20,3,19.0,,,6,20,59.0,6,,,6,20
Togo Palazzi,1955,4.660377358490566,0.5660377358490566,2.7547169811320753,,,0.399,0.399,0.399,,0.75,247,30,146.0,,,101,253,504.0,53,,,101,253
Bob Pettit*,1955,20.36111111111111,3.1805555555555554,13.805555555555555,,,0.407,0.407,0.407,,0.751,1466,229,994.0,,,520,1279,2659.0,72,,,520,1279
Frank Ramsey*,1955,11.171875,2.890625,6.28125,,,0.399,0.399,0.399,,0.755,715,185,402.0,,,236,592,1754.0,64,,,236,592
Dick Rosenthal,1955,7.82089552238806,2.283582089552239,4.477611940298507,,,0.377,0.377,0.377,,0.718,524,153,300.0,,,197,523,1406.0,67,,,197,523
Frank Selvy,1955,18.985915492957748,3.4507042253521125,5.549295774647887,,,0.378,0.378,0.378,,0.728,1348,245,394.0,,,452,1195,2668.0,71,,,452,1195
Gene Shue,1955,4.17741935483871,1.435483870967742,2.4838709677419355,,,0.346,0.346,0.346,,0.756,259,89,154.0,,,100,289,947.0,62,,,100,289
Art Spoelstra,1955,6.085714285714285,0.8285714285714286,4.071428571428571,,,0.398,0.398,0.398,,0.692,426,58,285.0,,,159,399,1127.0,70,,,159,399
Jim Tucker,1955,5.25,0.6,4.85,,,0.336,0.336,0.336,,0.711,105,12,97.0,,,39,116,287.0,20,,,39,116
Jack Turner,1955,4.338461538461538,1.1846153846153846,2.3692307692307693,,,0.36,0.36,0.36,,0.789,282,77,154.0,,,111,308,922.0,65,,,111,308
Bobby Watson,1955,2.7777777777777777,1.253968253968254,1.380952380952381,,,0.323,0.323,0.323,,0.689,175,79,87.0,,,72,223,702.0,63,,,72,223
Skippy Whitaker,1955,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,0.167,0.167,0.167,,,2,1,1.0,,,1,6,15.0,3,,,1,6
Jesse Arnelle,1956,4.741935483870968,0.5806451612903226,5.483870967741935,,,0.317,0.317,0.317,,0.623,147,18,170.0,,,52,164,409.0,31,,,52,164
Dick Atha,1956,3.72,1.28,1.68,,,0.409,0.409,0.409,,0.778,93,32,42.0,,,36,88,288.0,25,,,36,88
Don Bielke,1956,2.0,0.14285714285714285,1.2857142857142858,,,0.556,0.556,0.556,,0.571,14,1,9.0,,,5,9,38.0,7,,,5,9
Ed Conlin,1956,8.227272727272727,2.196969696969697,4.9393939393939394,,,0.368,0.368,0.368,,0.68,543,145,326.0,,,211,574,1423.0,66,,,211,574
Red Davis,1956,0.6666666666666666,0.3333333333333333,1.3333333333333333,,,0.0,0.0,0.0,,1.0,2,1,4.0,,,0,6,16.0,3,,,0,6
