Player,Year,PPG,APG,RPG,SPG,BPG,FG%,eFG%,2P%,3P%,FT%
Odie Spears,1950,10.470588235294118,2.338235294117647,,,,0.357,0.357,0.357,,0.687
Art Spector,1950,0.7142857142857143,0.42857142857142855,,,,0.167,0.167,0.167,,0.25
Ed Stanczak,1950,9.140350877192983,1.1754385964912282,,,,0.349,0.349,0.349,,0.752
Gene Stump,1950,3.326530612244898,0.8979591836734694,,,,0.296,0.296,0.296,,0.685
Mike Todorovich,1950,12.184615384615384,3.1846153846153844,,,,0.309,0.309,0.309,,0.719
Jack Toomay,1950,9.580645161290322,1.5161290322580645,,,,0.397,0.397,0.397,,0.705
Bob Tough,1950,3.896551724137931,1.3103448275862069,,,,0.281,0.281,0.281,,0.675
Blackie Towery,1950,8.779411764705882,2.088235294117647,,,,0.327,0.327,0.327,,0.757
Dick Triptow,1950,0.5,0.25,,,,0.0,0.0,0.0,,1.0
Butch Van,1950,3.6785714285714284,1.3928571428571428,,,,0.329,0.329,0.329,,0.716
Gene Vance,1950,8.742857142857142,3.4571428571428573,,,,0.338,0.338,0.338,,0.717
Ernie Vandeweghe,1950,10.023809523809524,1.8571428571428572,,,,0.421,0.421,0.421,,0.664
Floyd Volker,1950,7.351851851851852,2.074074074074074,,,,0.309,0.309,0.309,,0.55
Whitey Von,1950,5.305084745762712,2.4237288135593222,,,,0.357,0.357,0.357,,0.635
Clint Wager,1950,2.2698412698412698,1.4285714285714286,,,,0.281,0.281,0.281,,0.617
Danny Wagner,1950,6.2727272727272725,1.6363636363636365,,,,0.352,0.352,0.352,,0.886
Brady Walker,1950,7.470588235294118,1.6029411764705883,,,,0.374,0.374,0.374,,0.632
Paul Walther,1950,5.490566037735849,1.0566037735849056,,,,0.393,0.393,0.393,,0.578
Bobby Wanzer*,1950,11.805970149253731,3.1940298507462686,,,,0.414,0.414,0.414,,0.806
Murray Wier,1950,7.660714285714286,1.9107142857142858,,,,0.327,0.327,0.327,,0.693
D.C. Wilcutt,1950,2.081081081081081,1.3243243243243243,,,,0.329,0.329,0.329,,0.69
Bob Wood,1950,1.1666666666666667,0.16666666666666666,,,,0.214,0.214,0.214,,1.0
Max Zaslofsky,1950,16.397058823529413,2.2794117647058822,,,,0.351,0.351,0.351,,0.843
Paul Arizin*,1951,17.246153846153845,2.123076923076923,9.846153846153847,,,0.407,0.407,0.407,,0.793
Ed Beach,1951,1.8333333333333333,0.25,2.0833333333333335,,,0.211,0.211,0.211,,0.667
Leon Blevins,1951,1.0,0.5,1.0,,,0.25,0.25,0.25,,0.0
Ike Borsavage,1951,2.6666666666666665,0.16666666666666666,1.0,,,0.351,0.351,0.351,,0.667
Art Burris,1951,2.3333333333333335,0.8181818181818182,3.212121212121212,,,0.248,0.248,0.248,,0.583
Gerry Calabrese,1951,4.369565217391305,1.4130434782608696,1.4130434782608696,,,0.355,0.355,0.355,,0.693
Cal Christensen,1951,6.611940298507463,2.4029850746268657,7.8059701492537314,,,0.301,0.301,0.301,,0.714
Nat Clifton*,1951,8.646153846153846,2.4923076923076923,7.553846153846154,,,0.322,0.322,0.322,,0.532
Chuck Cooper,1951,9.318181818181818,2.6363636363636362,8.515151515151516,,,0.344,0.344,0.344,,0.753
Bob Cousy*,1951,15.623188405797102,4.942028985507246,6.869565217391305,,,0.352,0.352,0.352,,0.756
Hank DeZonie,1951,3.4,1.8,3.6,,,0.24,0.24,0.24,,0.714
Bob Donham,1951,6.117647058823529,2.0441176470588234,3.4558823529411766,,,0.507,0.507,0.507,,0.498
Ray Ellefson,1951,1.3333333333333333,0.0,2.6666666666666665,,,0.0,0.0,0.0,,1.0
Larry Foust,1951,13.455882352941176,1.3235294117647058,10.014705882352942,,,0.346,0.346,0.346,,0.659
Ed Gayda,1951,3.7333333333333334,0.8666666666666667,2.6,,,0.413,0.413,0.413,,0.75
Joe Hutton,1951,2.45,0.8833333333333333,1.7,,,0.328,0.328,0.328,,0.674
Bob Lavoy,1951,8.34920634920635,1.2063492063492063,4.920634920634921,,,0.357,0.357,0.357,,0.632
Earl Lloyd*,1951,6.142857142857143,1.5714285714285714,6.714285714285714,,,0.457,0.457,0.457,,0.846
Don Lofgran,1951,3.8852459016393444,0.5901639344262295,2.5737704918032787,,,0.293,0.293,0.293,,0.622
Norm Mager,1951,5.166666666666667,0.9583333333333334,1.9583333333333333,,,0.282,0.282,0.282,,0.786
Joe McNamee,1951,2.05,0.3,1.6833333333333333,,,0.287,0.287,0.287,,0.643
Chuck Mrazovich,1951,3.4,0.52,1.6,,,0.35,0.35,0.35,,0.604
